Year,Zone,Sex,Age Group,Population,Prevalence,Crude Prevalence Rate
01/01/2000 12:00:00 AM,Unknown,F,0 to 9,8575,779,9.08
01/01/2000 12:00:00 AM,Unknown,F,10 to 19,13270,1328,10.01
01/01/2000 12:00:00 AM,Unknown,F,20 to 29,11980,784,6.54
01/01/2000 12:00:00 AM,Unknown,F,30 to 39,9078,452,4.98
01/01/2000 12:00:00 AM,Unknown,F,40 to 49,6028,318,5.28
01/01/2000 12:00:00 AM,Unknown,F,50 to 59,3805,212,5.57
01/01/2000 12:00:00 AM,Unknown,F,60 to 69,2427,126,5.19
01/01/2000 12:00:00 AM,Unknown,F,70 to 79,2043,113,5.53
01/01/2000 12:00:00 AM,Unknown,F,80 +,1719,75,4.36
01/01/2000 12:00:00 AM,Unknown,M,0 to 9,8315,1071,12.88
01/01/2000 12:00:00 AM,Unknown,M,10 to 19,13743,1572,11.44
01/01/2000 12:00:00 AM,Unknown,M,20 to 29,11901,514,4.32
01/01/2000 12:00:00 AM,Unknown,M,30 to 39,8363,222,2.65
01/01/2000 12:00:00 AM,Unknown,M,40 to 49,5725,132,2.31
01/01/2000 12:00:00 AM,Unknown,M,50 to 59,3655,110,3.01
01/01/2000 12:00:00 AM,Unknown,M,60 to 69,2238,83,3.71
01/01/2000 12:00:00 AM,Unknown,M,70 to 79,1475,56,3.8
01/01/2000 12:00:00 AM,Unknown,M,80 +,868,33,3.8
01/01/2000 12:00:00 AM,Zone 1 - Western,F,0 to 9,8830,800,9.06
01/01/2000 12:00:00 AM,Zone 1 - Western,F,10 to 19,9567,994,10.39
01/01/2000 12:00:00 AM,Zone 1 - Western,F,20 to 29,10252,757,7.38
01/01/2000 12:00:00 AM,Zone 1 - Western,F,30 to 39,14273,856,6
01/01/2000 12:00:00 AM,Zone 1 - Western,F,40 to 49,16452,933,5.67
01/01/2000 12:00:00 AM,Zone 1 - Western,F,50 to 59,13763,846,6.15
01/01/2000 12:00:00 AM,Zone 1 - Western,F,60 to 69,9270,546,5.89
01/01/2000 12:00:00 AM,Zone 1 - Western,F,70 to 79,7439,434,5.83
01/01/2000 12:00:00 AM,Zone 1 - Western,F,80 +,5898,253,4.29
01/01/2000 12:00:00 AM,Zone 1 - Western,M,0 to 9,9709,1261,12.99
01/01/2000 12:00:00 AM,Zone 1 - Western,M,10 to 19,9988,1161,11.62
01/01/2000 12:00:00 AM,Zone 1 - Western,M,20 to 29,10109,407,4.03
01/01/2000 12:00:00 AM,Zone 1 - Western,M,30 to 39,13774,456,3.31
01/01/2000 12:00:00 AM,Zone 1 - Western,M,40 to 49,15923,481,3.02
01/01/2000 12:00:00 AM,Zone 1 - Western,M,50 to 59,13714,446,3.25
01/01/2000 12:00:00 AM,Zone 1 - Western,M,60 to 69,9210,336,3.65
01/01/2000 12:00:00 AM,Zone 1 - Western,M,70 to 79,6252,277,4.43
01/01/2000 12:00:00 AM,Zone 1 - Western,M,80 +,3364,152,4.52
01/01/2000 12:00:00 AM,Zone 2 - Northern,F,0 to 9,7394,707,9.56
01/01/2000 12:00:00 AM,Zone 2 - Northern,F,10 to 19,7796,848,10.88
01/01/2000 12:00:00 AM,Zone 2 - Northern,F,20 to 29,8656,659,7.61
01/01/2000 12:00:00 AM,Zone 2 - Northern,F,30 to 39,11042,621,5.62
01/01/2000 12:00:00 AM,Zone 2 - Northern,F,40 to 49,12290,722,5.87
01/01/2000 12:00:00 AM,Zone 2 - Northern,F,50 to 59,9849,617,6.26
01/01/2000 12:00:00 AM,Zone 2 - Northern,F,60 to 69,6556,394,6.01
01/01/2000 12:00:00 AM,Zone 2 - Northern,F,70 to 79,5554,288,5.19
01/01/2000 12:00:00 AM,Zone 2 - Northern,F,80 +,4400,210,4.77
01/01/2000 12:00:00 AM,Zone 2 - Northern,M,0 to 9,8128,1125,13.84
01/01/2000 12:00:00 AM,Zone 2 - Northern,M,10 to 19,8243,973,11.8
01/01/2000 12:00:00 AM,Zone 2 - Northern,M,20 to 29,8433,367,4.35
01/01/2000 12:00:00 AM,Zone 2 - Northern,M,30 to 39,10715,327,3.05
01/01/2000 12:00:00 AM,Zone 2 - Northern,M,40 to 49,12106,356,2.94
01/01/2000 12:00:00 AM,Zone 2 - Northern,M,50 to 59,10121,283,2.8
01/01/2000 12:00:00 AM,Zone 2 - Northern,M,60 to 69,6437,216,3.36
01/01/2000 12:00:00 AM,Zone 2 - Northern,M,70 to 79,4344,184,4.24
01/01/2000 12:00:00 AM,Zone 2 - Northern,M,80 +,2197,100,4.55
01/01/2000 12:00:00 AM,Zone 3 - Eastern,F,0 to 9,8075,847,10.49
01/01/2000 12:00:00 AM,Zone 3 - Eastern,F,10 to 19,8434,799,9.47
01/01/2000 12:00:00 AM,Zone 3 - Eastern,F,20 to 29,8836,544,6.16
01/01/2000 12:00:00 AM,Zone 3 - Eastern,F,30 to 39,11573,524,4.53
01/01/2000 12:00:00 AM,Zone 3 - Eastern,F,40 to 49,14348,705,4.91
01/01/2000 12:00:00 AM,Zone 3 - Eastern,F,50 to 59,11721,648,5.53
01/01/2000 12:00:00 AM,Zone 3 - Eastern,F,60 to 69,8104,436,5.38
01/01/2000 12:00:00 AM,Zone 3 - Eastern,F,70 to 79,6525,333,5.1
01/01/2000 12:00:00 AM,Zone 3 - Eastern,F,80 +,5384,241,4.48
01/01/2000 12:00:00 AM,Zone 3 - Eastern,M,0 to 9,8527,1238,14.52
01/01/2000 12:00:00 AM,Zone 3 - Eastern,M,10 to 19,9072,1081,11.92
01/01/2000 12:00:00 AM,Zone 3 - Eastern,M,20 to 29,8736,347,3.97
01/01/2000 12:00:00 AM,Zone 3 - Eastern,M,30 to 39,11201,275,2.46
01/01/2000 12:00:00 AM,Zone 3 - Eastern,M,40 to 49,14117,368,2.61
01/01/2000 12:00:00 AM,Zone 3 - Eastern,M,50 to 59,12178,328,2.69
01/01/2000 12:00:00 AM,Zone 3 - Eastern,M,60 to 69,7888,267,3.38
01/01/2000 12:00:00 AM,Zone 3 - Eastern,M,70 to 79,5181,203,3.92
01/01/2000 12:00:00 AM,Zone 3 - Eastern,M,80 +,2712,106,3.91
01/01/2000 12:00:00 AM,Zone 4 - Central,F,0 to 9,21044,2262,10.75
01/01/2000 12:00:00 AM,Zone 4 - Central,F,10 to 19,23677,2966,12.53
01/01/2000 12:00:00 AM,Zone 4 - Central,F,20 to 29,23831,2128,8.93
01/01/2000 12:00:00 AM,Zone 4 - Central,F,30 to 39,29879,2032,6.8
01/01/2000 12:00:00 AM,Zone 4 - Central,F,40 to 49,29964,2195,7.33
01/01/2000 12:00:00 AM,Zone 4 - Central,F,50 to 59,22273,1765,7.92
01/01/2000 12:00:00 AM,Zone 4 - Central,F,60 to 69,13957,998,7.15
01/01/2000 12:00:00 AM,Zone 4 - Central,F,70 to 79,11284,761,6.74
01/01/2000 12:00:00 AM,Zone 4 - Central,F,80 +,7957,429,5.39
01/01/2000 12:00:00 AM,Zone 4 - Central,M,0 to 9,21482,3197,14.88
01/01/2000 12:00:00 AM,Zone 4 - Central,M,10 to 19,24590,3610,14.68
01/01/2000 12:00:00 AM,Zone 4 - Central,M,20 to 29,22498,1208,5.37
01/01/2000 12:00:00 AM,Zone 4 - Central,M,30 to 39,27242,1004,3.69
01/01/2000 12:00:00 AM,Zone 4 - Central,M,40 to 49,27734,991,3.57
01/01/2000 12:00:00 AM,Zone 4 - Central,M,50 to 59,21154,773,3.65
01/01/2000 12:00:00 AM,Zone 4 - Central,M,60 to 69,13097,568,4.34
01/01/2000 12:00:00 AM,Zone 4 - Central,M,70 to 79,8414,379,4.5
01/01/2000 12:00:00 AM,Zone 4 - Central,M,80 +,3828,183,4.78
01/01/2001 12:00:00 AM,Unknown,F,0 to 9,7547,682,9.04
01/01/2001 12:00:00 AM,Unknown,F,10 to 19,12853,1420,11.05
01/01/2001 12:00:00 AM,Unknown,F,20 to 29,11476,821,7.15
01/01/2001 12:00:00 AM,Unknown,F,30 to 39,8804,474,5.38
01/01/2001 12:00:00 AM,Unknown,F,40 to 49,5959,339,5.69
01/01/2001 12:00:00 AM,Unknown,F,50 to 59,3833,242,6.31
01/01/2001 12:00:00 AM,Unknown,F,60 to 69,2304,131,5.69
01/01/2001 12:00:00 AM,Unknown,F,70 to 79,1955,110,5.63
01/01/2001 12:00:00 AM,Unknown,F,80 +,1635,79,4.83
01/01/2001 12:00:00 AM,Unknown,M,0 to 9,7452,925,12.41
01/01/2001 12:00:00 AM,Unknown,M,10 to 19,13074,1717,13.13
01/01/2001 12:00:00 AM,Unknown,M,20 to 29,11593,548,4.73
01/01/2001 12:00:00 AM,Unknown,M,30 to 39,8214,224,2.73
01/01/2001 12:00:00 AM,Unknown,M,40 to 49,5699,148,2.6
01/01/2001 12:00:00 AM,Unknown,M,50 to 59,3669,108,2.94
01/01/2001 12:00:00 AM,Unknown,M,60 to 69,2180,86,3.94
01/01/2001 12:00:00 AM,Unknown,M,70 to 79,1381,56,4.06
01/01/2001 12:00:00 AM,Unknown,M,80 +,774,39,5.04
01/01/2001 12:00:00 AM,Zone 1 - Western,F,0 to 9,8900,795,8.93
01/01/2001 12:00:00 AM,Zone 1 - Western,F,10 to 19,9536,1116,11.7
01/01/2001 12:00:00 AM,Zone 1 - Western,F,20 to 29,10016,839,8.38
01/01/2001 12:00:00 AM,Zone 1 - Western,F,30 to 39,13852,893,6.45
01/01/2001 12:00:00 AM,Zone 1 - Western,F,40 to 49,16708,1044,6.25
01/01/2001 12:00:00 AM,Zone 1 - Western,F,50 to 59,14215,978,6.88
01/01/2001 12:00:00 AM,Zone 1 - Western,F,60 to 69,9469,588,6.21
01/01/2001 12:00:00 AM,Zone 1 - Western,F,70 to 79,7450,472,6.34
01/01/2001 12:00:00 AM,Zone 1 - Western,F,80 +,6076,295,4.86
01/01/2001 12:00:00 AM,Zone 1 - Western,M,0 to 9,9612,1263,13.14
01/01/2001 12:00:00 AM,Zone 1 - Western,M,10 to 19,10018,1374,13.72
01/01/2001 12:00:00 AM,Zone 1 - Western,M,20 to 29,9942,456,4.59
01/01/2001 12:00:00 AM,Zone 1 - Western,M,30 to 39,13278,498,3.75
01/01/2001 12:00:00 AM,Zone 1 - Western,M,40 to 49,16149,541,3.35
01/01/2001 12:00:00 AM,Zone 1 - Western,M,50 to 59,14174,506,3.57
01/01/2001 12:00:00 AM,Zone 1 - Western,M,60 to 69,9487,388,4.09
01/01/2001 12:00:00 AM,Zone 1 - Western,M,70 to 79,6331,279,4.41
01/01/2001 12:00:00 AM,Zone 1 - Western,M,80 +,3461,183,5.29
01/01/2001 12:00:00 AM,Zone 2 - Northern,F,0 to 9,7406,705,9.52
01/01/2001 12:00:00 AM,Zone 2 - Northern,F,10 to 19,7779,940,12.08
01/01/2001 12:00:00 AM,Zone 2 - Northern,F,20 to 29,8461,733,8.66
01/01/2001 12:00:00 AM,Zone 2 - Northern,F,30 to 39,10816,687,6.35
01/01/2001 12:00:00 AM,Zone 2 - Northern,F,40 to 49,12521,832,6.64
01/01/2001 12:00:00 AM,Zone 2 - Northern,F,50 to 59,10168,688,6.77
01/01/2001 12:00:00 AM,Zone 2 - Northern,F,60 to 69,6724,445,6.62
01/01/2001 12:00:00 AM,Zone 2 - Northern,F,70 to 79,5530,327,5.91
01/01/2001 12:00:00 AM,Zone 2 - Northern,F,80 +,4538,225,4.96
01/01/2001 12:00:00 AM,Zone 2 - Northern,M,0 to 9,8086,1117,13.81
01/01/2001 12:00:00 AM,Zone 2 - Northern,M,10 to 19,8305,1129,13.59
01/01/2001 12:00:00 AM,Zone 2 - Northern,M,20 to 29,8228,412,5.01
01/01/2001 12:00:00 AM,Zone 2 - Northern,M,30 to 39,10575,358,3.39
01/01/2001 12:00:00 AM,Zone 2 - Northern,M,40 to 49,12206,407,3.33
01/01/2001 12:00:00 AM,Zone 2 - Northern,M,50 to 59,10480,330,3.15
01/01/2001 12:00:00 AM,Zone 2 - Northern,M,60 to 69,6605,218,3.3
01/01/2001 12:00:00 AM,Zone 2 - Northern,M,70 to 79,4397,188,4.28
01/01/2001 12:00:00 AM,Zone 2 - Northern,M,80 +,2311,115,4.98
01/01/2001 12:00:00 AM,Zone 3 - Eastern,F,0 to 9,8044,834,10.37
01/01/2001 12:00:00 AM,Zone 3 - Eastern,F,10 to 19,8400,930,11.07
01/01/2001 12:00:00 AM,Zone 3 - Eastern,F,20 to 29,8683,601,6.92
01/01/2001 12:00:00 AM,Zone 3 - Eastern,F,30 to 39,11247,563,5.01
01/01/2001 12:00:00 AM,Zone 3 - Eastern,F,40 to 49,14388,763,5.3
01/01/2001 12:00:00 AM,Zone 3 - Eastern,F,50 to 59,12143,757,6.23
01/01/2001 12:00:00 AM,Zone 3 - Eastern,F,60 to 69,8264,469,5.68
01/01/2001 12:00:00 AM,Zone 3 - Eastern,F,70 to 79,6500,362,5.57
01/01/2001 12:00:00 AM,Zone 3 - Eastern,F,80 +,5518,269,4.87
01/01/2001 12:00:00 AM,Zone 3 - Eastern,M,0 to 9,8465,1240,14.65
01/01/2001 12:00:00 AM,Zone 3 - Eastern,M,10 to 19,9105,1258,13.82
01/01/2001 12:00:00 AM,Zone 3 - Eastern,M,20 to 29,8568,394,4.6
01/01/2001 12:00:00 AM,Zone 3 - Eastern,M,30 to 39,10871,301,2.77
01/01/2001 12:00:00 AM,Zone 3 - Eastern,M,40 to 49,14117,393,2.78
01/01/2001 12:00:00 AM,Zone 3 - Eastern,M,50 to 59,12542,386,3.08
01/01/2001 12:00:00 AM,Zone 3 - Eastern,M,60 to 69,8090,283,3.5
01/01/2001 12:00:00 AM,Zone 3 - Eastern,M,70 to 79,5252,228,4.34
01/01/2001 12:00:00 AM,Zone 3 - Eastern,M,80 +,2787,112,4.02
01/01/2001 12:00:00 AM,Zone 4 - Central,F,0 to 9,20571,2201,10.7
01/01/2001 12:00:00 AM,Zone 4 - Central,F,10 to 19,24044,3323,13.82
01/01/2001 12:00:00 AM,Zone 4 - Central,F,20 to 29,23923,2335,9.76
01/01/2001 12:00:00 AM,Zone 4 - Central,F,30 to 39,29633,2230,7.53
01/01/2001 12:00:00 AM,Zone 4 - Central,F,40 to 49,30923,2502,8.09
01/01/2001 12:00:00 AM,Zone 4 - Central,F,50 to 59,23254,2010,8.64
01/01/2001 12:00:00 AM,Zone 4 - Central,F,60 to 69,14340,1144,7.98
01/01/2001 12:00:00 AM,Zone 4 - Central,F,70 to 79,11370,841,7.4
01/01/2001 12:00:00 AM,Zone 4 - Central,F,80 +,8311,485,5.84
01/01/2001 12:00:00 AM,Zone 4 - Central,M,0 to 9,21137,3223,15.25
01/01/2001 12:00:00 AM,Zone 4 - Central,M,10 to 19,24984,4101,16.41
01/01/2001 12:00:00 AM,Zone 4 - Central,M,20 to 29,22652,1423,6.28
01/01/2001 12:00:00 AM,Zone 4 - Central,M,30 to 39,27057,1110,4.1
01/01/2001 12:00:00 AM,Zone 4 - Central,M,40 to 49,28795,1145,3.98
01/01/2001 12:00:00 AM,Zone 4 - Central,M,50 to 59,21982,908,4.13
01/01/2001 12:00:00 AM,Zone 4 - Central,M,60 to 69,13438,617,4.59
01/01/2001 12:00:00 AM,Zone 4 - Central,M,70 to 79,8600,434,5.05
01/01/2001 12:00:00 AM,Zone 4 - Central,M,80 +,4126,202,4.9
01/01/2002 12:00:00 AM,Unknown,F,0 to 9,6768,595,8.79
01/01/2002 12:00:00 AM,Unknown,F,10 to 19,12374,1505,12.16
01/01/2002 12:00:00 AM,Unknown,F,20 to 29,11202,852,7.61
01/01/2002 12:00:00 AM,Unknown,F,30 to 39,8519,469,5.51
01/01/2002 12:00:00 AM,Unknown,F,40 to 49,5967,358,6
01/01/2002 12:00:00 AM,Unknown,F,50 to 59,3858,263,6.82
01/01/2002 12:00:00 AM,Unknown,F,60 to 69,2304,135,5.86
01/01/2002 12:00:00 AM,Unknown,F,70 to 79,1806,98,5.43
01/01/2002 12:00:00 AM,Unknown,F,80 +,1526,87,5.7
01/01/2002 12:00:00 AM,Unknown,M,0 to 9,6592,792,12.01
01/01/2002 12:00:00 AM,Unknown,M,10 to 19,12514,1784,14.26
01/01/2002 12:00:00 AM,Unknown,M,20 to 29,11285,627,5.56
01/01/2002 12:00:00 AM,Unknown,M,30 to 39,8065,240,2.98
01/01/2002 12:00:00 AM,Unknown,M,40 to 49,5723,165,2.88
01/01/2002 12:00:00 AM,Unknown,M,50 to 59,3616,104,2.88
01/01/2002 12:00:00 AM,Unknown,M,60 to 69,2168,90,4.15
01/01/2002 12:00:00 AM,Unknown,M,70 to 79,1303,56,4.3
01/01/2002 12:00:00 AM,Unknown,M,80 +,739,32,4.33
01/01/2002 12:00:00 AM,Zone 1 - Western,F,0 to 9,8820,771,8.74
01/01/2002 12:00:00 AM,Zone 1 - Western,F,10 to 19,9531,1237,12.98
01/01/2002 12:00:00 AM,Zone 1 - Western,F,20 to 29,9884,922,9.33
01/01/2002 12:00:00 AM,Zone 1 - Western,F,30 to 39,13363,944,7.06
01/01/2002 12:00:00 AM,Zone 1 - Western,F,40 to 49,16916,1167,6.9
01/01/2002 12:00:00 AM,Zone 1 - Western,F,50 to 59,14587,1092,7.49
01/01/2002 12:00:00 AM,Zone 1 - Western,F,60 to 69,9818,671,6.83
01/01/2002 12:00:00 AM,Zone 1 - Western,F,70 to 79,7496,508,6.78
01/01/2002 12:00:00 AM,Zone 1 - Western,F,80 +,6197,330,5.33
01/01/2002 12:00:00 AM,Zone 1 - Western,M,0 to 9,9506,1233,12.97
01/01/2002 12:00:00 AM,Zone 1 - Western,M,10 to 19,10091,1578,15.64
01/01/2002 12:00:00 AM,Zone 1 - Western,M,20 to 29,9771,501,5.13
01/01/2002 12:00:00 AM,Zone 1 - Western,M,30 to 39,12896,532,4.13
01/01/2002 12:00:00 AM,Zone 1 - Western,M,40 to 49,16330,581,3.56
01/01/2002 12:00:00 AM,Zone 1 - Western,M,50 to 59,14542,549,3.78
01/01/2002 12:00:00 AM,Zone 1 - Western,M,60 to 69,9804,434,4.43
01/01/2002 12:00:00 AM,Zone 1 - Western,M,70 to 79,6389,296,4.63
01/01/2002 12:00:00 AM,Zone 1 - Western,M,80 +,3573,195,5.46
01/01/2002 12:00:00 AM,Zone 2 - Northern,F,0 to 9,7366,704,9.56
01/01/2002 12:00:00 AM,Zone 2 - Northern,F,10 to 19,7809,1033,13.23
01/01/2002 12:00:00 AM,Zone 2 - Northern,F,20 to 29,8304,762,9.18
01/01/2002 12:00:00 AM,Zone 2 - Northern,F,30 to 39,10547,763,7.23
01/01/2002 12:00:00 AM,Zone 2 - Northern,F,40 to 49,12659,908,7.17
01/01/2002 12:00:00 AM,Zone 2 - Northern,F,50 to 59,10484,787,7.51
01/01/2002 12:00:00 AM,Zone 2 - Northern,F,60 to 69,6959,496,7.13
01/01/2002 12:00:00 AM,Zone 2 - Northern,F,70 to 79,5546,360,6.49
01/01/2002 12:00:00 AM,Zone 2 - Northern,F,80 +,4617,236,5.11
01/01/2002 12:00:00 AM,Zone 2 - Northern,M,0 to 9,7993,1130,14.14
01/01/2002 12:00:00 AM,Zone 2 - Northern,M,10 to 19,8333,1277,15.32
01/01/2002 12:00:00 AM,Zone 2 - Northern,M,20 to 29,8120,455,5.6
01/01/2002 12:00:00 AM,Zone 2 - Northern,M,30 to 39,10392,371,3.57
01/01/2002 12:00:00 AM,Zone 2 - Northern,M,40 to 49,12283,471,3.83
01/01/2002 12:00:00 AM,Zone 2 - Northern,M,50 to 59,10724,358,3.34
01/01/2002 12:00:00 AM,Zone 2 - Northern,M,60 to 69,6908,250,3.62
01/01/2002 12:00:00 AM,Zone 2 - Northern,M,70 to 79,4469,197,4.41
01/01/2002 12:00:00 AM,Zone 2 - Northern,M,80 +,2385,111,4.65
01/01/2002 12:00:00 AM,Zone 3 - Eastern,F,0 to 9,7928,823,10.38
01/01/2002 12:00:00 AM,Zone 3 - Eastern,F,10 to 19,8415,1029,12.23
01/01/2002 12:00:00 AM,Zone 3 - Eastern,F,20 to 29,8569,654,7.63
01/01/2002 12:00:00 AM,Zone 3 - Eastern,F,30 to 39,10824,609,5.63
01/01/2002 12:00:00 AM,Zone 3 - Eastern,F,40 to 49,14472,797,5.51
01/01/2002 12:00:00 AM,Zone 3 - Eastern,F,50 to 59,12553,828,6.6
01/01/2002 12:00:00 AM,Zone 3 - Eastern,F,60 to 69,8482,523,6.17
01/01/2002 12:00:00 AM,Zone 3 - Eastern,F,70 to 79,6493,386,5.94
01/01/2002 12:00:00 AM,Zone 3 - Eastern,F,80 +,5609,285,5.08
01/01/2002 12:00:00 AM,Zone 3 - Eastern,M,0 to 9,8388,1207,14.39
01/01/2002 12:00:00 AM,Zone 3 - Eastern,M,10 to 19,9076,1454,16.02
01/01/2002 12:00:00 AM,Zone 3 - Eastern,M,20 to 29,8534,454,5.32
01/01/2002 12:00:00 AM,Zone 3 - Eastern,M,30 to 39,10489,313,2.98
01/01/2002 12:00:00 AM,Zone 3 - Eastern,M,40 to 49,14036,442,3.15
01/01/2002 12:00:00 AM,Zone 3 - Eastern,M,50 to 59,12941,409,3.16
01/01/2002 12:00:00 AM,Zone 3 - Eastern,M,60 to 69,8357,316,3.78
01/01/2002 12:00:00 AM,Zone 3 - Eastern,M,70 to 79,5336,235,4.4
01/01/2002 12:00:00 AM,Zone 3 - Eastern,M,80 +,2805,120,4.28
01/01/2002 12:00:00 AM,Zone 4 - Central,F,0 to 9,20225,2147,10.62
01/01/2002 12:00:00 AM,Zone 4 - Central,F,10 to 19,24197,3682,15.22
01/01/2002 12:00:00 AM,Zone 4 - Central,F,20 to 29,24181,2600,10.75
01/01/2002 12:00:00 AM,Zone 4 - Central,F,30 to 39,29283,2368,8.09
01/01/2002 12:00:00 AM,Zone 4 - Central,F,40 to 49,31907,2800,8.78
01/01/2002 12:00:00 AM,Zone 4 - Central,F,50 to 59,24174,2222,9.19
01/01/2002 12:00:00 AM,Zone 4 - Central,F,60 to 69,14864,1338,9
01/01/2002 12:00:00 AM,Zone 4 - Central,F,70 to 79,11423,886,7.76
